host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
bmcebank.ma;212.217.29.195;OK;1;Abadou;Marrakesh-Safi;MA;31.5792,-7.3131;AS6713 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM;42072;Africa/Casablanca;23.2;20-03-2023 15:05:28
bmce-intl.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
bnl.it;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
bnpparibas.es;23.0.116.18;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28009;Europe/Madrid;2.72;20-03-2023 15:05:29
boing.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
booking.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
burguerkingencasa.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
buysellads.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:29
buzznet.com;35.229.48.116;OK;2;North Charleston;South Carolina;US;32.9336,-80.1026;AS396982 Google LLC;29420;America/New_York;90.7;20-03-2023 15:05:30
cadena100.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:30
cadenadial.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:30
cadenaser.com;184.28.177.14;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28009;Europe/Madrid;4.37;20-03-2023 15:05:31
caixabank.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
caixabank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
callstats.io;104.22.65.205;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.95;20-03-2023 15:05:31
canalextremadura.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
canalsur.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
carbonads.net;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
care2.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:31
caringbridge.org;108.157.109.31;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.58;20-03-2023 15:05:32
casadellibro.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:32
casalemedia.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:32
cashconverters.es;108.157.98.116;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.57;20-03-2023 15:05:32
cashparking.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:32
ccma.cat;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:32
c-date.es;93.104.242.20;OK;1;Munich;Bavaria;DE;48.1374,11.5755;AS8767 M-net Telekommunikations GmbH;80331;Europe/Berlin;34.5;20-03-2023 15:05:33
cdkeys.com;172.67.69.86;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.45;20-03-2023 15:05:33
cecabank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:33
cherryroad.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:39
chinafm.es;217.13.94.225;OK;1;Valencia;Valencia;ES;39.4697,-0.3774;AS25487 Digital Value SL;46001;Europe/Madrid;12.2;20-03-2023 15:05:39
cinesa.es;104.18.26.207;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.73;20-03-2023 15:05:40
clarin.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:40
classmates.com;104.18.24.23;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.25;20-03-2023 15:05:40
cliver.tv;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:40
