host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
booking.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
Blogspot.com;142.250.200.73;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;2.70;09-05-2023 15:47:03
bluehost.com;104.18.28.109;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.26;09-05-2023 15:47:03
burguerkingencasa.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0,0.0;N/A;N/A;N/A;N/A;0.0;09-05-2023 15:47:03
buysellads.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
cadena100.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
cadenadial.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
caixabank.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
caixabank.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
bmcebank.ma;212.217.29.195;OK;1;Abadou;Marrakesh-Safi;MA;40.4353,-3.6495;31.5792,-7.3131;AS6713;Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM;42072;Africa/Casablanca;22.8;09-05-2023 15:47:03
blogs.route53.opera.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
canalextremadura.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
canalsur.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
carbonads.net;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:03
bnpparibas.es;184.84.31.228;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16625;Akamai Technologies, Inc.;28001;Europe/Madrid;2.67;09-05-2023 15:47:03
buzznet.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
care2.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
casadellibro.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
callstats.io;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
cashparking.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
ccma.cat;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
casalemedia.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
cecabank.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
cadenaser.com;84.53.133.91;OK;2;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS20940;Akamai International B.V.;28001;Europe/Madrid;3.27;09-05-2023 15:47:04
cdkeys.com;104.26.14.122;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.61;09-05-2023 15:47:04
cashconverters.es;108.157.98.31;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.28;09-05-2023 15:47:04
clarin.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
c-date.es;93.104.242.20;OK;1;Thannhausen;Bavaria;DE;40.4353,-3.6495;48.2833,10.4692;AS8767;M-net Telekommunikations GmbH;86470;Europe/Berlin;35.7;09-05-2023 15:47:04
cliver.tv;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0,0.0;N/A;N/A;N/A;N/A;0.0;09-05-2023 15:47:04
cloob.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:04
chinafm.es;217.13.94.225;OK;1;Valencia;Valencia;ES;40.4353,-3.6495;39.4697,-0.3774;AS25487;Digital Value SL;46001;Europe/Madrid;8.85;09-05-2023 15:47:04
cinesa.es;104.18.26.207;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.39;09-05-2023 15:47:05
comercios.ceca.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
caringbridge.org;108.157.109.47;OK;3;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.00;09-05-2023 15:47:05
classmates.com;104.18.24.23;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.60;09-05-2023 15:47:05
comlaude.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
cope.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
